unidadEjecutora;fechaEvento;perdidaBruta;recuperacion;perdidaReconocida;detalleNivel3;detalleNivel2;detalleNivel1;causa
Unidad de Finanzas y Contabilidad;4-may-17;147.10;0.00;147.10;3.2.3 - Indemnización a los trabajadores;3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Negocios Nicaragua;26-jun-16;35.00;0.00;35.00;6.1.3 - Telecomunicaciones;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Panamá;25-jun-18;54.00;0.00;534.55;4.1.5 - Ventas agresivas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Guatemala;22-feb-20;26.91;0.00;26.91;7.1.8 - Fallo en la gestión del colateral;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios El Salvador;25-jul-18;234.21;0.00;234.21;4.1.7 - Abuso de información confidencial;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;31-dic-16;35.00;224.35;101.58;3.2.1 - Responsabilidad en general (resbalones, etc.);3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Auditoría Interna;7-abr-18;160.36;0.00;160.36;4.2.5 - Blanqueo de dinero;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;21-oct-18;24.19;0.00;24.19;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Calidad y Productividad;7-ene-18;100.53;0.00;100.53;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones;29-sept-15;70.00;472.79;214.07;7.5.1 - Fallos de contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;8-sept-15;245.63;0.00;245.63;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Cumplimiento;19-mar-19;100.00;0.00;1011.22;2.2.2 - Robo de información (con pérdidas pecuniarias);2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Administración y Recursos Humanos;2-abr-16;191.11;0.00;191.11;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;13-may-16;65.00;0.00;642.00;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;14-nov-18;208.26;0.00;208.26;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;20-may-19;632.97;0.00;632.97;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;9-jul-19;202.44;0.00;202.44;3.1.1 - Cuestiones relativas a remuneración, prestaciones sociales, extinción de contratos;3.1 - Relaciones laborales;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;27-ene-18;655.62;0.00;655.62;7.5.2 - Otros litigios con contrapartes distintas de clientes;7.5 - Contrapartes comerciales;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Administración y Recursos Humanos;25-jun-16;256.57;0.00;256.57;4.2.2 - Prácticas comerciales / de mercado improcedentes;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Nicaragua;13-ago-18;353.49;0.00;353.49;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;9-oct-19;95.00;0.00;95.00;6.1.4 - Interrupción / incidencias en el suministro;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Administración y Recursos Humanos;6-dic-18;22.17;0.00;22.17;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Costa Rica;17-oct-15;51.23;0.00;51.23;4.1.8 - Responsabilidad del prestamista;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Panamá;1-mar-16;976.43;0.00;976.43;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Negocios Guatemala;7-dic-17;954.98;0.00;954.98;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios El Salvador;21-nov-18;61.34;0.00;61.34;7.1.7 - Fallo en la entrega;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Riesgos;12-jul-15;303.99;0.00;303.99;1.2.7 - Contrabando;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Auditoría Interna;20-nov-16;259.39;259.39;0.00;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;8-ene-19;224.04;0.00;224.04;4.3.1 - Defectos del producto (no autorizado, etc.);4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Calidad y Productividad;17-ago-15;1193.96;0.00;1193.96;4.5.1 - Litigios sobre resultados de las actividades de asesoramiento;4.5 - Actividades de asesoramiento;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Riesgos;27-ene-16;602.47;0.00;602.47;1.1.2 - Operaciones no autorizadas (con pérdidas pecuniarias);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;17-jun-16;616.24;0.00;616.24;4.3.2 - Error de los modelos;4.3 - Productos defectuosos;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Administración y Recursos Humanos;13-jul-19;89.78;31.34;89.78;7.1.6 - Errores en otras tareas;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Finanzas y Contabilidad;2-ene-16;767.28;0.00;767.28;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Negocios Corporativa;26-ene-18;11.13;0.00;11.13;6.1.1 - Hardware;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Nicaragua;2-feb-16;24.09;4.15;19.94;6.1.2 - Software;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Proyectos;18-jun-18;76.00;0.00;76.00;6.1.4 - Interrupción / incidencias en el suministro;6.1 - Sistemas;6 - Incidencias en el negocio y fallos en los sistemas;Sistemas
Unidad de Negocios Nicaragua;24-mar-18;167.50;0.00;167.50;4.1.2 - Aspectos de adecuación/divulgación información;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Finanzas y Contabilidad;26-sept-15;1307.00;0.00;1307.00;7.2.2 - Inexactitud de informes externos (con generación de pérdidas);7.2 - Seguimiento y presentación de informes;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Operaciones  -Préstamos;12-ago-18;322.91;0.00;322.91;4.1.3 - Quebrantamiento de la privacidad de información sobre clientes minoristas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Operaciones  -Préstamos;30-jul-17;405.06;0.00;405.06;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;26-sept-18;988.05;0.00;988.05;1.2.6 - Utilización de cheques sin fondos;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Administración y Recursos Humanos;6-nov-19;376.77;0.00;376.77;4.2.5 - Blanqueo de dinero;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Proyectos;18-dic-17;185.74;0.00;185.74;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Tecnología;4-may-16;260.87;0.00;260.87;5.1.2 - Pérdidas humanas por causas externas (terrorismo, vandalismo);5.1 - Desastres y otros acontecimientos;5 - Daños a activos materiales;Personas
Unidad de Operaciones;11-jul-19;801.17;0.00;801.17;1.2.3 - Valoración errónea de posiciones (intencional);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Tecnología;18-mar-19;113.08;0.00;113.08;3.2.1 - Responsabilidad en general (resbalones, etc.);3.2 - Higiene y seguridad en el trabajo;3 - Relaciones laborales y seguridad en el puesto de trabajo;Personas
Unidad de Operaciones;16-abr-19;714.93;0.00;714.93;7.1.2 - Errores de introducción de datos, mantenimiento o descarga;7.1 - Recepción, ejecución y mantenimiento de operaciones;7 - Ejecución, entrega y gestión de procesos;Personas
Unidad de Calidad y Productividad;6-jul-17;787.99;0.00;787.99;2.2.1 - Daños por ataques informáticos;2.2 - Seguridad de los sistemas;2 - Fraude externo;Eventos externos
Unidad de Cumplimiento;8-ene-18;124.49;0.00;124.49;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Calidad y Productividad;23-dic-15;393.96;0.00;393.96;1.2.9 - Incumplimiento / evasión de impuestos (intencional);1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;11-may-17;183.67;0.00;183.67;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Negocios Costa Rica;7-jul-15;481.65;0.00;481.65;4.2.3 - Manipulación del mercado;4.2 - Prácticas empresariales o de mercado improcedentes;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Auditoría Interna;3-nov-19;293.08;0.00;293.08;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
Unidad de Finanzas y Contabilidad;11-sept-18;356.84;0.00;356.84;1.1.1 - Operaciones no reveladas (intencionalmente);1.1 - Actividades no autorizadas;1 - Fraude interno;Personas
Unidad de Negocios Nicaragua;13-jul-19;1964.96;0.00;1964.96;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad de Cumplimiento;1-ago-19;211.93;0.00;211.93;4.1.6 - Confusión de cuentas;4.1 - Adecuación, divulgación de información y confianza;4 - Clientes, productos y prácticas empresariales;Personas
Unidad Legal;16-sept-18;421.07;0.00;421.07;1.2.1 - Fraude / fraude crediticio/ depósitos sin valor;1.2 - Hurto y fraude;1 - Fraude interno;Personas
