ID;ADDRESS;STREET;STREET NO;ZIP;CITY_POST;CITY;region2;poviat;region3;subreg;coords.x1;coords.x2;LEGAL_FORM1;LEGAL_FORM2;OWNERSHIP;PKD7;SEC_PKD7;GR_EMPL;empl
26222;23-400 Bi³goraj Derenia Majdañska   15;NA;15;23-400;Bi³goraj;Derenia Majdañska;powiat bi³gorajski;powiat bi�gorajski;gmina Bi³goraj;2;22,70640381;50,49392897;9;99;214;0113Z;A;1;5
8394;21-543 Konstantynów Wichowicze   21;NA;21;21-543;Konstantynów;Wichowicze;powiat bialski;powiat bialski;gmina Konstantynów;1;23,11972218;52,20027777;9;99;214;0150Z;A;1;5
220558;21-300 Radzyñ Podlaski Radzyñ Podlaski ul. kard. Stefana Wyszyñskiego 16;ul. kard. Stefana Wyszyñskiego;16;21-300;Radzyñ Podlaski;Radzyñ Podlaski;powiat radzyñski;powiat radzy�ski;Radzyñ Podlaski;1;22,60654427;51,78213253;9;99;214;0150Z;A;1;5
302542;21-500 Bia³a Podlaska Bia³a Podlaska ul. Sidorska 59;ul. Sidorska;59;21-500;Bia³a Podlaska;Bia³a Podlaska;Bia³a Podlaska;powiat Bia�a Podlaska;Bia³a Podlaska;1;23,14183807;52,02379329;9;99;214;6920Z;M;1;5
67555;23-320 Batorz Batorz Pierwszy   55M;NA;55M;23-320;Batorz;Batorz Pierwszy;powiat janowski;powiat janowski;gmina Batorz;4;22,49270997;50,84946059;9;99;214;8623Z;Q;1;5
322873;20-045 Lublin Lublin ul. Czwartaków 3;ul. Czwartaków;3;20-045;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,53299213;51,24784267;9;99;214;6910Z;M;1;5
275040;22-205 Wyryki Wyryki-Adampol   28;NA;28;22-205;Wyryki;Wyryki-Adampol;powiat w³odawski;powiat w�odawski;gmina Wyryki;1;23,41512319;51,56082821;9;99;214;0150Z;A;1;5
270254;22-220 Hanna Do³hobrody   96;NA;96;22-220;Hanna;Do³hobrody;powiat w³odawski;powiat w�odawski;gmina Hanna;1;23,51563272;51,6759083;1;50;215;9491Z;S;1;5
229869;21-310 Wohyñ Wohyñ ul. Józefa Ignacego Kraszewskiego 25;ul. Józefa Ignacego Kraszewskiego;25;21-310;Wohyñ;Wohyñ;powiat radzyñski;powiat radzy�ski;gmina Wohyñ;1;22,78995041;51,75540103;9;99;214;0150Z;A;1;5
18640;21-580 Wisznice Wisznice ul. Rynek 35d;ul. Rynek;35d;21-580;Wisznice;Wisznice;powiat bialski;powiat bialski;gmina Wisznice;1;23,20950233;51,78825737;9;99;214;5610A;I;1;5
273072;22-200 W³odawa ¯³obek   6;NA;6;22-200;W³odawa;¯³obek;powiat w³odawski;powiat w�odawski;gmina W³odawa;1;23,57017061;51,4636108;9;99;214;0240Z;A;1;5
169217;21-400 £uków Wólka wi¹tkowa   58;NA;58;21-400;£uków;Wólka wi¹tkowa;powiat ³ukowski;powiat �ukowski;gmina £uków;4;22,39999997;51,96666671;9;99;214;0150Z;A;1;5
177273;21-405 Zembry Zembry   44;NA;44;21-405;Zembry;Zembry;powiat ³ukowski;powiat �ukowski;gmina Trzebieszów;4;22,52528997;52,04471996;9;99;214;0150Z;A;1;5
225626;21-311 Komarówka Podlaska Wiski   63;NA;63;21-311;Komarówka Podlaska;Wiski;powiat radzyñski;powiat radzy�ski;gmina Komarówka Podlaska;1;22,94319999;51,80283509;9;99;214;0150Z;A;1;5
4619;21-500 Bia³a Podlaska S³awacinek Stary   54E;NA;54E;21-500;Bia³a Podlaska;S³awacinek Stary;powiat bialski;powiat bialski;gmina Bia³a Podlaska;1;23,07693003;52,03128997;9;99;214;2561Z;C;1;5
205377;24-100 Pu³awy Pu³awy ul. Cypriana Kamila Norwida 25;ul. Cypriana Kamila Norwida;25;24-100;Pu³awy;Pu³awy;powiat pu³awski;powiat pu�awski;Pu³awy;4;21,9803607;51,41825587;9;99;214;0150Z;A;1;5
340502;20-825 Lublin Lublin ul. Kasztelañska 8;ul. Kasztelañska;8;20-825;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,51383089;51,26957869;9;99;214;9103Z;R;1;5
346603;20-837 Lublin Lublin ul. Sko³uby 1;ul. Sko³uby;1;20-837;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,54620608;51,2608677;9;99;214;7990C;N;1;5
162834;21-400 £uków £uków ul. Rurowa 96;ul. Rurowa;96;21-400;£uków;£uków;powiat ³ukowski;powiat �ukowski;£uków;4;22,38538537;51,9264074;9;99;214;0150Z;A;1;5
309820;22-101 Che³m Che³m ul. Tadeusza Czackiego 6;ul. Tadeusza Czackiego;6;22-101;Che³m;Che³m;Che³m;powiat Che�m;Che³m;2;23,49101475;51,13364038;9;99;214;0150Z;A;1;5
164060;21-400 £uków £uków ul. Stasia i Nel 5;ul. Stasia i Nel;5;21-400;£uków;£uków;powiat ³ukowski;powiat �ukowski;£uków;4;22,37846047;51,91994483;9;99;214;4941Z;H;1;5
250028;21-044 Trawniki Siostrzytów   168;NA;168;21-044;Trawniki;Siostrzytów;powiat widnicki;powiat �widnicki;gmina Trawniki;3;22,97211245;51,17423957;9;99;214;0150Z;A;1;5
126618;24-224 Borzechów K³odnica Górna   28;NA;28;24-224;Borzechów;K³odnica Górna;powiat lubelski;powiat lubelski;gmina Borzechów;3;22,2967;51,05451;9;99;214;0150Z;A;1;5
165001;21-400 £uków £uków ul. Spó³dzielcza 5D;ul. Spó³dzielcza;5D;21-400;£uków;£uków;powiat ³ukowski;powiat �ukowski;£uków;4;22,38538537;51,9264074;9;99;214;9602Z;S;1;5
206417;24-100 Pu³awy Pu³awy ul. W³ostowicka 238;ul. W³ostowicka;238;24-100;Pu³awy;Pu³awy;powiat pu³awski;powiat pu�awski;Pu³awy;4;21,98591029;51,3834486;9;99;214;0150Z;A;1;5
19124;21-512 Zalesie Zalesie ul. 3 Maja 5;ul. 3 Maja;5;21-512;Zalesie;Zalesie;powiat bialski;powiat bialski;gmina Zalesie;1;23,36108401;52,0367638;9;99;214;0150Z;A;1;5
341826;20-518 Lublin Lublin ul. Krê¿nicka 71B;ul. Krê¿nicka;71B;20-518;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,50388828;51,1709487;9;99;214;5829Z;J;1;5
66781;22-546 Turkowice Wronowice   2;NA;2;22-546;Turkowice;Wronowice;powiat hrubieszowski;powiat hrubieszowski;gmina Werbkowice;2;23,71058995;50,67710998;9;99;214;0150Z;A;1;5
252296;22-600 Tomaszów Lubelski Tomaszów Lubelski ul. Majdañska 21;ul. Majdañska;21;22-600;Tomaszów Lubelski;Tomaszów Lubelski;powiat tomaszowski;powiat tomaszowski;Tomaszów Lubelski;2;23,44588671;50,45144709;9;99;214;0150Z;A;1;5
276032;22-425 Grabowiec Grabowiec-Góra   110;NA;110;22-425;Grabowiec;Grabowiec-Góra;powiat zamojski;powiat zamojski;gmina Grabowiec;2;23,55674996;50,81118891;9;99;214;4711Z;G;1;5
85479;22-310 Kraniczyn Boñcza   149;NA;149;22-310;Kraniczyn;Boñcza;powiat krasnostawski;powiat krasnostawski;gmina Kraniczyn;2;23,42090573;50,92878569;9;99;214;0150Z;A;1;5
342856;20-832 Lublin Lublin ul. Skowronkowa 31;ul. Skowronkowa;31;20-832;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,50279823;51,27269992;9;99;214;4520Z;G;1;5
84302;22-301 Stê¿yca £êczyñska Stê¿yca £êczyñska   23;NA;23;22-301;Stê¿yca £êczyñska;Stê¿yca £êczyñska;powiat krasnostawski;powiat krasnostawski;gmina Krasnystaw;2;23,12841436;51,03675278;9;99;214;0150Z;A;1;5
130103;21-080 Garbów Garbów   52A;NA;52A;21-080;Garbów;Garbów;powiat lubelski;powiat lubelski;gmina Garbów;3;22,34426822;51,35096049;1;140;215;0161Z;A;2;30
316516;20-103 Lublin Lublin ul. Rusa³ka 17;ul. Rusa³ka;17;20-103;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,56581019;51,24014398;9;99;214;4778Z;G;1;5
175299;21-440 Jedlanka Aleksandrówka   17;NA;17;21-440;Jedlanka;Aleksandrówka;powiat ³ukowski;powiat �ukowski;gmina Stoczek £ukowski;4;22,12182002;51,94233998;9;99;214;0150Z;A;1;5
246386;21-007 Me³giew Minkowice-Kolonia   2;NA;2;21-007;Me³giew;Minkowice-Kolonia;powiat widnicki;powiat �widnicki;gmina Me³giew;3;22,76216296;51,21367598;9;99;214;4520Z;G;1;5
156413;21-010 £êczna Ciechanki Krzesimowskie   36;NA;36;21-010;£êczna;Ciechanki Krzesimowskie;powiat ³êczyñski;powiat ��czy�ski;gmina £êczna;3;22,85738609;51,28137529;9;99;214;0150Z;A;1;5
107137;21-100 Lubartów Lubartów ul. Spacerowa 3;ul. Spacerowa;3;21-100;Lubartów;Lubartów;powiat lubartowski;powiat lubartowski;Lubartów;3;22,59961002;51,46611001;9;99;214;4322Z;F;1;5
347902;20-515 Lublin Lublin ul. Nizinna 1;ul. Nizinna;1;20-515;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,49905108;51,17090371;9;99;214;2352Z;C;1;5
14163;21-504 Rokitno Micha³ki   3;NA;3;21-504;Rokitno;Micha³ki;powiat bialski;powiat bialski;gmina Rokitno;1;23,31719685;52,07923717;9;99;214;0150Z;A;1;5
69849;23-302 Godziszów Nowa Osada   42;NA;42;23-302;Godziszów;Nowa Osada;powiat janowski;powiat janowski;gmina Godziszów;4;22,49484957;50,7491634;9;99;214;4781Z;G;1;5
309513;22-100 Che³m Che³m ul. Wolnoci 5;ul. Wolnoci;5;22-100;Che³m;Che³m;Che³m;powiat Che�m;Che³m;2;23,48124952;51,1214886;9;99;214;0150Z;A;1;5
223772;21-306 Czemierniki Czemierniki ul. Radzyñska 19;ul. Radzyñska;19;21-306;Czemierniki;Czemierniki;powiat radzyñski;powiat radzy�ski;gmina Czemierniki;1;22,63654318;51,67337246;9;99;214;4773Z;G;1;5
224310;21-302 K¹kolewnica Wschodnia Grabowiec   44;NA;44;21-302;K¹kolewnica Wschodnia;Grabowiec;powiat radzyñski;powiat radzy�ski;gmina K¹kolewnica;1;22,70560664;51,89958678;9;99;214;0150Z;A;1;5
264127;22-600 Tomaszów Lubelski Pasieki   204;NA;204;22-600;Tomaszów Lubelski;Pasieki;powiat tomaszowski;powiat tomaszowski;gmina Tomaszów Lubelski;2;23,33441998;50,44418998;9;99;214;0150Z;A;1;5
312641;20-061 Lublin Lublin ul. Cypriana Kamila Norwida 3;ul. Cypriana Kamila Norwida;3;20-061;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,53650455;51,25206853;1;50;215;9491Z;S;1;5
338445;20-844 Lublin Lublin ul. Braci Wieniawskich 4 / 55;ul. Braci Wieniawskich;4/55;20-844;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,55059588;51,26421003;2;19;214;7311Z;M;1;5
166865;21-425 Huta-D¹browa Go³e £azy   37;NA;37;21-425;Huta-D¹browa;Go³e £azy;powiat ³ukowski;powiat �ukowski;gmina Krzywda;4;22,01642482;51,80206461;9;99;214;0150Z;A;1;5
264582;22-600 Tomaszów Lubelski Sabaudia   5;NA;5;22-600;Tomaszów Lubelski;Sabaudia;powiat tomaszowski;powiat tomaszowski;gmina Tomaszów Lubelski;2;23,44008;50,47865002;9;99;214;0150Z;A;1;5
125036;24-200 Be³¿yce Wojcieszyn   17;NA;17;24-200;Be³¿yce;Wojcieszyn;powiat lubelski;powiat lubelski;gmina Be³¿yce;3;22,32537997;51,20850001;9;99;214;0150Z;A;1;5
62474;22-530 Mircze Miêtkie-Kolonia   14;NA;14;22-530;Mircze;Miêtkie-Kolonia;powiat hrubieszowski;powiat hrubieszowski;gmina Mircze;2;23,82234999;50,65937;9;99;214;0150Z;A;1;5
73855;23-300 Janów Lubelski Bia³a Pierwsza   293;NA;293;23-300;Janów Lubelski;Bia³a Pierwsza;powiat janowski;powiat janowski;gmina Janów Lubelski;4;22,4357168;50,72754699;9;99;214;0150Z;A;1;5
222839;21-306 Czemierniki Czemierniki ul. Parczewska 18A;ul. Parczewska;18A;21-306;Czemierniki;Czemierniki;powiat radzyñski;powiat radzy�ski;gmina Czemierniki;1;22,63654318;51,67337246;9;99;214;0150Z;A;1;5
34123;23-413 Obsza Olchowiec   108;NA;108;23-413;Obsza;Olchowiec;powiat bi³gorajski;powiat bi�gorajski;gmina Obsza;2;22,96182;50,31522998;9;99;214;0150Z;A;1;5
350090;20-001 Lublin Lublin ul. Stokrotki 6;ul. Stokrotki;6;20-001;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,51485461;51,23299069;9;99;214;0150Z;A;1;5
367917;22-400 Zamoæ Zamoæ ul. Hetmana Jana Zamoyskiego 32;ul. Hetmana Jana Zamoyskiego;32;22-400;Zamoæ;Zamoæ;Zamoæ;powiat Zamo��;Zamoæ;2;23,27644215;50,72042833;9;99;214;8122Z;N;1;5
39181;22-170 Rejowiec Fabryczny Rejowiec Fabryczny ul. Krótka 4;ul. Krótka;4;22-170;Rejowiec Fabryczny;Rejowiec Fabryczny;powiat che³mski;powiat che�mski;Rejowiec Fabryczny;2;23,24998643;51,1246038;9;99;214;0150Z;A;1;5
314129;20-081 Lublin Lublin ul. Stanis³awa Staszica 18;ul. Stanis³awa Staszica;18;20-081;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,56400201;51,25065022;9;99;214;9609Z;S;1;5
332769;20-834 Lublin Lublin ul. Irysowa 12;ul. Irysowa;12;20-834;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,50020299;51,27784597;9;99;214;4791Z;G;1;5
112514;21-132 Kamionka Kamionka ul. Lubartowska 55;ul. Lubartowska;55;21-132;Kamionka;Kamionka;powiat lubartowski;powiat lubartowski;gmina Kamionka;3;22,47407999;51,46392998;2;85;214;6832Z;L;1;5
251401;22-600 Tomaszów Lubelski Tomaszów Lubelski ul. Papie¿a Jana Paw³a II 2;ul. Papie¿a Jana Paw³a II;2;22-600;Tomaszów Lubelski;Tomaszów Lubelski;powiat tomaszowski;powiat tomaszowski;Tomaszów Lubelski;2;23,41346511;50,448143;9;99;214;4779Z;G;1;5
42975;22-175 Dorohusk wier¿e ul. M³yñska 2;ul. M³yñska;2;22-175;Dorohusk;wier¿e;powiat che³mski;powiat che�mski;gmina Dorohusk;2;23,73394013;51,22740949;9;99;214;0150Z;A;1;5
371563;22-400 Zamoæ Zamoæ ul. Nowy Rynek NN;ul. Nowy Rynek;NN;22-400;Zamoæ;Zamoæ;Zamoæ;powiat Zamo��;Zamoæ;2;23,27512279;50,70910311;9;99;214;4751Z;G;1;5
173643;21-421 Tuchowicz Gózd   64;NA;64;21-421;Tuchowicz;Gózd;powiat ³ukowski;powiat �ukowski;gmina Stanin;4;22,22555998;51,88978999;9;99;214;4322Z;F;1;5
222964;21-306 Czemierniki Skoki   102;NA;102;21-306;Czemierniki;Skoki;powiat radzyñski;powiat radzy�ski;gmina Czemierniki;1;22,63654318;51,67337246;9;99;214;0150Z;A;1;5
144807;21-003 Ciecierzyn Jakubowice Koniñskie   40A;NA;40A;21-003;Ciecierzyn;Jakubowice Koniñskie;powiat lubelski;powiat lubelski;gmina Niemce;3;22,52965669;51,30268317;9;99;214;8623Z;Q;1;5
239149;08-540 Stê¿yca Zielonka   11;NA;11;08-540;Stê¿yca;Zielonka;powiat rycki;powiat rycki;gmina Stê¿yca;4;21,82504998;51,64219001;9;99;214;0150Z;A;1;5
35997;23-420 Tarnogród Ró¿aniec Drugi   104;NA;104;23-420;Tarnogród;Ró¿aniec Drugi;powiat bi³gorajski;powiat bi�gorajski;gmina Tarnogród;2;22,80529952;50,33036558;9;99;214;0111Z;A;1;5
239434;08-540 Stê¿yca Stara Rokitnia   91;NA;91;08-540;Stê¿yca;Stara Rokitnia;powiat rycki;powiat rycki;gmina Stê¿yca;4;21,80060996;51,61644;9;99;214;0150Z;A;1;5
186282;24-335 £aziska Janiszów   4a;NA;4a;24-335;£aziska;Janiszów;powiat opolski;powiat opolski;gmina £aziska;4;21,85730686;51,14316139;9;99;214;4631Z;G;1;5
287442;22-417 Stary Zamoæ Borowina   5;NA;5;22-417;Stary Zamoæ;Borowina;powiat zamojski;powiat zamojski;gmina Stary Zamoæ;2;23,2091818;50,80123527;9;99;214;0150Z;A;1;5
137840;21-492 Lublin Zemborzyce Tereszyñskie   73;NA;73;21-492;Lublin;Zemborzyce Tereszyñskie;powiat lubelski;powiat lubelski;gmina Konopnica;3;22,4271131;51,18183457;9;99;214;0150Z;A;1;5
294528;22-403 Zamoæ Hubale   80;NA;80;22-403;Zamoæ;Hubale;powiat zamojski;powiat zamojski;gmina Zamoæ;2;23,15012242;50,67862496;9;99;214;0150Z;A;1;5
357790;20-337 Lublin Lublin ul. Pogodna 40;ul. Pogodna;40;20-337;Lublin;Lublin;Lublin;powiat Lublin;Lublin;3;22,59627638;51,23410867;9;99;214;7490Z;M;1;5
366693;22-400 Zamoæ Zamoæ ul. Lwowska 4;ul. Lwowska;4;22-400;Zamoæ;Zamoæ;Zamoæ;powiat Zamo��;Zamoæ;2;23,27697649;50,70921701;2;85;234;6832Z;L;1;5
16734;21-550 Terespol Lebiedziew   137;NA;137;21-550;Terespol;Lebiedziew;powiat bialski;powiat bialski;gmina Terespol;1;23,59945003;52,01962;9;99;214;0150Z;A;1;5
225304;21-302 K¹kolewnica Wschodnia ¯akowola Poprzeczna   26;NA;26;21-302;K¹kolewnica Wschodnia;¯akowola Poprzeczna;powiat radzyñski;powiat radzy�ski;gmina K¹kolewnica;1;22,71277161;51,88058271;9;99;214;0150Z;A;1;5
226780;21-300 Radzyñ Podlaski Bia³ka   154;NA;154;21-300;Radzyñ Podlaski;Bia³ka;powiat radzyñski;powiat radzy�ski;Radzyñ Podlaski;1;22,62088177;51,78272528;9;99;214;0162Z;A;1;5
262412;22-604 Tarnawatka D¹browa Tarnawacka   9;NA;9;22-604;Tarnawatka;D¹browa Tarnawacka;powiat tomaszowski;powiat tomaszowski;gmina Tarnawatka;2;23,45425973;50,53221477;9;99;214;5221Z;H;1;5
246234;21-007 Me³giew Me³giew ul. Partyzancka 29;ul. Partyzancka;29;21-007;Me³giew;Me³giew;powiat widnicki;powiat �widnicki;gmina Me³giew;3;22,78789711;51,23521863;2;999;215;9492Z;S;1;5
40678;22-151 Staw Horodyszcze   10;NA;10;22-151;Staw;Horodyszcze;powiat che³mski;powiat che�mski;gmina Che³m;2;23,43629567;51,18706849;9;99;214;0150Z;A;1;5
259584;22-640 Rachanie Rachanie ul. Partyzantów 75;ul. Partyzantów;75;22-640;Rachanie;Rachanie;powiat tomaszowski;powiat tomaszowski;gmina Rachanie;2;23,54513573;50,5370573;9;99;214;0150Z;A;1;5
30681;23-460 Józefów Stanis³awów   158;NA;158;23-460;Józefów;Stanis³awów;powiat bi³gorajski;powiat bi�gorajski;gmina Józefów;2;23,14227142;50,50285166;9;99;214;0143Z;A;1;5
22458;23-400 Bi³goraj Bi³goraj ul. Lena 34;ul. Lena;34;23-400;Bi³goraj;Bi³goraj;powiat bi³gorajski;powiat bi�gorajski;Bi³goraj;2;22,7346437;50,54234989;9;99;214;0150Z;A;1;5
268592;22-200 W³odawa W³odawa ul. Nieca³a 2;ul. Nieca³a;2;22-200;W³odawa;W³odawa;powiat w³odawski;powiat w�odawski;W³odawa;1;23,55713668;51,54527999;1;155;215;9499Z;S;1;5
66683;22-550 Werbkowice Hostynne   22;NA;22;22-550;Werbkowice;Hostynne;powiat hrubieszowski;powiat hrubieszowski;gmina Werbkowice;2;23,70210995;50,74712998;9;99;214;0150Z;A;1;5
158625;21-013 Puchaczów Turowola   108A;NA;108A;21-013;Puchaczów;Turowola;powiat ³êczyñski;powiat ��czy�ski;gmina Puchaczów;3;22,94768986;51,30937689;9;99;214;0150Z;A;1;5
192889;24-313 Wilków Urz¹dków   23;NA;23;24-313;Wilków;Urz¹dków;powiat opolski;powiat opolski;gmina Wilków;4;21,8774974;51,25559539;9;99;214;0150Z;A;1;5
228968;21-307 Ulan-Majorat Ulan-Majorat   77;NA;77;21-307;Ulan-Majorat;Ulan-Majorat;powiat radzyñski;powiat radzy�ski;gmina Ulan-Majorat;1;22,48396891;51,80796936;9;99;214;4773Z;G;1;5
274895;22-206 Horostyta Horostyta   48;NA;48;22-206;Horostyta;Horostyta;powiat w³odawski;powiat w�odawski;gmina Wyryki;1;23,24422149;51,59190341;9;99;214;0150Z;A;1;5
216647;24-122 Góra Pu³awska Kowala   50A;NA;50A;24-122;Góra Pu³awska;Kowala;powiat pu³awski;powiat pu�awski;gmina Pu³awy;4;21,93299819;51,41027976;9;99;214;0150Z;A;1;5
279781;22-437 £abunie £abunie ul. Ogrodowa 5;ul. Ogrodowa;5;22-437;£abunie;£abunie;powiat zamojski;powiat zamojski;gmina £abunie;2;23,36452576;50,6526462;9;99;214;0150Z;A;1;5
275613;22-442 Adamów Szewnia Górna   22;NA;22;22-442;Adamów;Szewnia Górna;powiat zamojski;powiat zamojski;gmina Adamów;2;23,17830518;50,61979606;9;99;214;0150Z;A;1;5
