codigoCliente,sumValTot,Frecuencia,edad,estadoCivil,nivelEducacion,sexo,tipoVivienda,nivelIngresos,Uafe
734,74589.43,13,67.7534246575343,C,Sup,M,P,2973.46,
740,804.15,8,82.1342465753425,C,Sup,F,P,3187.02,
742,1109.97,37,76.5178082191781,C,P o S,M,P,701.48,
745,3772.66,9,70.6465753424658,C,P o S,M,NP,0,
775,2055.82,7,72.2876712328767,C,P o S,M,NP,811.74,
779,2381.88,14,68.6328767123288,C,P o S,M,P,2026.78,
781,3221.41,37,72.4027397260274,C,P o S,M,P,570,
784,10556.61,42,74.3232876712329,D,P o S,F,P,2026,
793,1625.28,5,69.9315068493151,C,P o S,M,P,900,
796,8.09,1,71.8986301369863,C,P o S,M,P,1910,
797,4139.95,13,68.4465753424658,C,P o S,M,P,2584.92,
837,743.84,6,75.9369863013699,C,P o S,M,NP,630.7,
857,2826.11,31,65.6904109589041,C,P o S,M,P,1607,
901,1491.78,16,69.5972602739726,C,P o S,M,P,1168.72,
930,3453.15,42,74.5534246575343,C,P o S,M,P,1247.23,
935,28001.89,4,68.2356164383562,C,P o S,M,P,1920,
961,0.02,1,71.3479452054795,C,P o S,M,NP,0,
1000,582.05,7,79.6438356164384,S,Sup,M,NP,2800,
1037,82.14,4,70.3972602739726,S,P o S,M,P,1434.99,
1048,752.45,4,70.841095890411,V,Sup,M,NP,390,
1103,0.02,1,88.9260273972603,S,missing o N,F,NP,0,
1110,3304.05,8,75.8054794520548,C,P o S,M,NP,590,
1118,4369.26,8,69.7095890410959,C,P o S,M,NP,0,
1178,0.08,2,70.3095890410959,C,P o S,M,NP,483.33,
1181,2961.01,10,66.7287671232877,C,P o S,M,P,1852.73,
1204,18.53,4,68.9095890410959,C,P o S,M,P,3000,
1216,0.04,2,67.9808219178082,C,Sup,M,P,2170.33,
1223,0.1,1,67.7479452054795,C,missing o N,M,NP,0,
1225,948.37,4,68.9753424657534,C,P o S,M,P,3100,
1260,938.11,16,72.9260273972603,C,missing o N,M,NP,0,
1276,0.05,1,67.2767123287671,C,missing o N,M,NP,0,
1294,3180.07,6,69.9972602739726,S,P o S,F,P,2080,
1311,0.93,1,68.6164383561644,C,P o S,M,P,1800,
1320,455.52,2,81.986301369863,C,missing o N,M,NP,0,
1340,1.71,1,71.9095890410959,missing,missing o N,M,NP,0,
1345,2048.15,27,77.1369863013699,C,Sup,M,P,4538.83,
1363,424.47,6,69.4,C,P o S,M,P,566,
1369,0.04,2,71.254794520548,C,P o S,M,P,1067,
1374,2343.53,8,70.8739726027397,D,P o S,M,NP,356,
1378,2760.2,13,68.7643835616438,D,P o S,M,NP,1281,
1380,7759.29,10,69.0328767123288,D,P o S,M,P,1923.93,
1408,3.17,3,82.8383561643836,C,P o S,M,NP,0,
1455,467.35,3,70.5397260273973,C,Sup,M,P,3503.32,
1476,0.02,1,70.0767123287671,C,Sup,M,NP,1900,
1480,1185.02,5,68.7369863013699,C,P o S,M,NP,470,
1510,4948.32,5,66.8904109589041,C,Sup,F,NP,498.01,
1548,267.33,6,79.1589041095891,C,Sup,M,NP,4325,
1573,1977.72,7,67.8356164383562,C,Sup,M,P,1952,
1587,959.62,3,71.1534246575343,C,P o S,M,P,798,
1607,0.02,1,90.0246575342466,C,P o S,M,NP,0,
1614,199.8,2,66.1589041095891,S,P o S,M,NP,0,
1670,5848.31,8,71.3698630136986,C,Sup,M,P,3999.66,
1682,1470.86,20,75.2794520547945,S,P o S,F,NP,0,
1692,1383.62,10,68.9479452054795,D,P o S,M,P,530.1,
1702,0.31,1,88.586301369863,V,P o S,M,NP,0,
1703,27340.13,6,70.027397260274,C,P o S,M,P,1400,
1707,2457.18,12,72.2191780821918,C,P o S,F,NP,366.45,
1724,6808.07,56,83.5232876712329,D,Sup,M,P,2900,
1736,4171.84,12,72.241095890411,D,P o S,M,NP,385,
1755,1342.92,10,66.8958904109589,D,P o S,M,P,760.4,
1756,1067.41,8,58.6986301369863,V,P o S,F,P,597.47,
1766,8608.05,7,76.5095890410959,C,P o S,M,NP,1145,
1771,0.02,1,79.0082191780822,C,P o S,M,NP,0,
1781,1590.13,7,70.8219178082192,C,P o S,M,NP,1430.63,
1806,4042,12,70.0986301369863,C,P o S,M,NP,1680,
1807,5306.7,17,70.0767123287671,C,P o S,M,P,1041,
1821,606.6,3,69.1424657534247,C,missing o N,M,NP,0,
1836,733.12,3,69.3753424657534,C,P o S,M,P,2026.84,
1864,4342.18,30,69.7534246575343,C,P o S,M,P,1403.03,
1870,353.54,4,66.2054794520548,C,P o S,M,P,4000,
1901,1374.52,9,72.1068493150685,C,P o S,M,NP,0,
1906,1586.87,5,65.3808219178082,C,P o S,M,P,840,
1927,891.97,11,71.5808219178082,S,P o S,M,NP,0,
1949,1430.76,30,71.6164383561644,C,P o S,M,NP,0,
1951,3470.31,5,79.5315068493151,C,Sup,M,NP,0,
1969,0.31,1,71.0054794520548,C,P o S,M,NP,2272.96,
1970,1339.11,5,68.172602739726,C,P o S,M,P,1981.3,
1973,0.62,1,72.0082191780822,C,P o S,M,NP,0,
1987,0.02,1,67.6767123287671,U,P o S,M,NP,0,
2012,0.15,1,65.2164383561644,C,P o S,M,P,1740,
2026,0.08,2,71.3698630136986,C,P o S,M,NP,0,
2042,0.02,1,64.6575342465753,C,P o S,M,NP,306,
2045,2075.71,6,74.0219178082192,C,P o S,M,P,1124.15,
2055,3447.76,22,63.013698630137,C,P o S,M,P,2027.93,
2071,6009.38,35,70.2986301369863,C,Sup,M,P,3138,
2079,1382.2,10,69.5561643835617,C,P o S,M,P,1913.16,
2085,1611.51,11,68.013698630137,D,P o S,M,P,1300,
2091,0.13,1,72.7068493150685,C,P o S,M,NP,3200,
2094,2244.13,9,71.3945205479452,C,P o S,M,P,844,
2098,989.2,5,66.8958904109589,V,P o S,F,P,433.26,
2100,1900.43,18,90.3890410958904,V,P o S,M,P,830.72,
2117,2249.65,6,66.8876712328767,C,P o S,M,P,7065.82,
2120,0.04,2,80.3561643835617,C,P o S,M,NP,551,
2147,0.02,1,82.4876712328767,C,missing o N,M,NP,0,
2182,1342.76,13,78.0958904109589,C,P o S,M,NP,1103.72,
2197,112.84,4,66.3753424657534,C,P o S,M,P,1105,
2203,352.75,2,68.3260273972603,C,P o S,M,P,1515.5,
2223,1046.09,5,80.4931506849315,D,Sup,M,P,1591.48,
2237,10001.86,2,77.6876712328767,C,Sup,M,NP,3668.66,
2244,93968.71,16,72.186301369863,C,P o S,M,P,3800,
2262,119.83,5,80.2,S,Sup,M,P,1655,
2268,7363.52,5,65.6794520547945,C,Sup,M,P,3900,
2287,0.32,1,72.372602739726,C,Sup,M,NP,0,
2290,1.3,4,67.7616438356164,C,Sup,M,P,1600,
2293,1482.43,7,78.7890410958904,C,P o S,M,NP,638.75,
2316,16740.62,10,75.2739726027397,C,P o S,M,P,1335,
2338,970.89,7,69.8246575342466,C,P o S,M,P,1632.2,
2344,1330.4,11,69.3287671232877,C,P o S,M,P,1120,
2349,1190.69,8,77.9808219178082,C,P o S,M,P,562.96,
2370,456,5,75.9561643835616,V,P o S,M,NP,1210,
2372,7540.54,41,65.0465753424658,C,P o S,M,P,3096,
2398,1346.11,9,75.9753424657534,V,P o S,M,P,963,
2406,0.04,2,91.0219178082192,C,P o S,M,P,0,
2437,0.06,1,66.7150684931507,C,Sup,M,NP,0,
2446,2785.77,19,69.6986301369863,C,P o S,M,NP,1200,
2451,654.02,7,67.5260273972603,D,P o S,M,NP,3515,
2465,2649.32,3,83.5698630136986,C,P o S,M,NP,1009,
2467,1887.97,5,69.9835616438356,C,P o S,M,P,1664,
2482,2242.87,105,72.8767123287671,C,P o S,M,NP,1256.46,
2490,1260.12,11,70.4356164383562,C,P o S,M,NP,863.46,
2496,1067.96,6,73.4657534246575,D,P o S,M,NP,337.62,
2517,2072.05,7,66.9178082191781,D,P o S,M,P,981.13,
2519,0.93,1,65.5671232876712,C,missing o N,M,NP,0,
2526,828.61,8,66.3534246575343,D,P o S,M,P,460.52,
2547,4357.51,15,63.4465753424658,C,P o S,F,NP,2141.26,
2567,4394.09,9,65.4082191780822,C,P o S,M,P,1678,
2574,509.86,2,67.9205479452055,C,P o S,M,NP,1639.08,
2579,1270.36,10,67.8767123287671,U,P o S,M,P,516.44,
2592,819.06,3,67.1068493150685,S,P o S,M,P,2085.01,
2604,0.02,1,65.8575342465753,V,P o S,M,P,710,
2607,0.31,1,63.0493150684932,C,P o S,M,NP,0,
2619,3610.23,7,64.0794520547945,C,P o S,M,P,2180,
2646,575.8,6,64.4986301369863,C,P o S,M,P,1065,
2650,74624.61,25,66.8547945205479,V,P o S,M,P,0,
2659,2422.86,8,68.227397260274,C,P o S,M,NP,660.87,
2660,42.23,7,70.4684931506849,C,Sup,M,P,4737,
2666,0.93,1,69.4767123287671,C,P o S,M,P,2261,
2668,3664.94,4,68.7232876712329,C,P o S,M,NP,0,
2670,16.03,2,64.0794520547945,C,missing o N,M,NP,0,
2674,1495.36,26,69.9397260273973,C,P o S,M,P,584.15,
2678,464.72,2,65.8794520547945,U,P o S,M,P,1638.55,
2680,2.65,5,65.7342465753425,C,P o S,M,NP,873.82,
2688,20.73,3,63.4219178082192,S,P o S,M,P,2290,
2689,0.03,1,63.6958904109589,C,P o S,M,P,2030.09,
2694,2263.94,12,65.0684931506849,C,P o S,M,NP,1612.61,
2702,0.02,1,62.613698630137,C,P o S,M,NP,0,
2705,2388.76,11,67.841095890411,C,P o S,M,P,1638.18,
2710,593.12,8,65.0383561643836,S,P o S,M,NP,333.28,
2736,252.83,2,74.6712328767123,C,P o S,M,NP,1434.06,
2746,4531.63,48,63.7835616438356,C,P o S,M,NP,0,
2761,2394.83,11,65.2328767123288,C,P o S,M,P,2212.52,
2763,2210.43,21,67.5534246575343,C,P o S,M,NP,842,
2769,0.02,1,64.1287671232877,C,P o S,M,P,2031,
2785,1421.61,26,64.0246575342466,D,P o S,M,NP,721.87,
2800,1618.86,4,64.4493150684932,V,P o S,M,NP,1188,
2810,494.63,6,69.372602739726,C,P o S,M,NP,241,
2812,4102.66,5,68.3205479452055,D,P o S,M,P,739.16,
2821,902.95,7,62.7589041095891,C,P o S,M,P,1467.08,
2823,535.31,9,66.0575342465754,C,P o S,M,NP,0,
2831,6997.15,31,70.2767123287671,C,P o S,M,P,1385.49,
2839,96.78,8,66.3972602739726,V,P o S,M,P,301,
2845,3752.79,72,63.7780821917808,C,P o S,M,P,1586,
2854,0.03,1,64.0219178082192,C,P o S,M,NP,0,
2867,3686.4,8,62.7835616438356,C,P o S,M,P,1867,
2870,0.02,1,65.758904109589,C,P o S,M,NP,0,
2872,985.19,17,71.4630136986301,C,P o S,F,P,3328,
2925,601.77,4,65.2054794520548,C,P o S,M,P,379.82,
2935,553.27,11,68.2027397260274,C,P o S,M,NP,0,
2947,4127.35,36,68.5205479452055,C,Sup,M,P,1469.38,
2951,4484.02,28,65.4712328767123,C,P o S,M,NP,1800,
2953,1012.75,4,62.8876712328767,C,P o S,M,NP,756.82,
2965,7.15,1,61.0849315068493,C,missing o N,M,NP,0,
2986,739.86,4,71.4794520547945,C,Sup,M,P,5511.98,
2995,1289.8,8,74.054794520548,C,P o S,M,NP,1043.2,
3001,1701.66,4,67.0246575342466,C,P o S,M,P,1500,
3003,26236.57,8,63.5013698630137,C,Sup,F,NP,2680.49,
3008,0.31,1,66.7178082191781,C,P o S,M,NP,0,
3027,1.74,2,71.3972602739726,C,P o S,M,P,1534.43,
3038,958.72,5,65.6,C,P o S,M,NP,964.17,
3045,826.83,14,67.1616438356165,C,P o S,M,P,310,
3054,1157.72,18,63.186301369863,missing,missing o N,M,NP,0,
3061,944.68,4,63.6082191780822,C,P o S,M,NP,0,
3072,1160.02,9,63.7616438356164,C,P o S,M,P,714,
3105,1366.27,12,65.6958904109589,S,P o S,M,P,1300.33,
3107,355.73,3,63.7424657534247,C,P o S,M,P,1431.55,
3110,695.33,8,62.7068493150685,V,P o S,M,P,431.62,
3116,1690.12,6,67.2712328767123,C,P o S,M,P,2188.06,
3121,401.09,6,63.8684931506849,C,P o S,M,P,1161,
3148,4539.98,4,63.4164383561644,C,P o S,M,P,1889.41,
3150,2549.74,9,67.2767123287671,C,P o S,M,P,1824.11,
3155,461.56,5,64.7260273972603,U,P o S,M,P,1163,
3164,6685.76,25,65.9232876712329,C,P o S,M,NP,772.64,
3172,0.06,1,67.227397260274,missing,missing o N,M,NP,0,
3175,1573.46,6,65.1698630136986,C,P o S,M,P,1955.77,
3186,120.03,2,61.0630136986301,C,P o S,M,NP,0,
3202,1346.44,8,64.1643835616438,C,Sup,F,P,576.3,
3206,251.68,9,62.7123287671233,C,Sup,M,NP,1089,
3230,0.02,1,64.6876712328767,C,P o S,M,P,1588,
3241,1046.01,8,63.5808219178082,C,P o S,M,P,553,
3257,1609.94,8,65.9835616438356,C,P o S,M,P,1000,
3258,452.29,2,68.6849315068493,C,P o S,M,NP,733.23,
3266,743.47,12,73.2849315068493,C,P o S,M,P,611.11,
3285,8277.34,17,63.972602739726,C,P o S,M,P,1906.67,
3292,641.98,14,64.3452054794521,C,P o S,M,P,1536,
3329,1876.42,10,67.0520547945205,V,P o S,M,P,955.39,
3341,23225.67,33,67.9917808219178,C,P o S,M,NP,1974.17,
3354,81.09,4,67.4465753424658,C,Sup,M,P,4700,
3361,598.92,7,63.758904109589,C,P o S,M,NP,444.73,
3375,1615.1,7,71.254794520548,C,P o S,M,NP,1244.71,
3376,0.03,1,62.7917808219178,C,P o S,M,NP,0,
3390,43213.31,20,64.8821917808219,C,P o S,M,P,2709.61,
3404,0.08,2,64.2630136986301,C,P o S,M,P,1075.08,
3408,744.02,4,63.9178082191781,C,P o S,M,P,970,
3415,8093.35,16,65.0219178082192,C,P o S,M,P,701.45,
3423,0.02,1,64.7753424657534,C,P o S,M,NP,0,
3466,6346,6,67.0493150684932,C,P o S,M,NP,1246.79,
3473,7113.91,19,62.2383561643836,C,P o S,M,NP,2409.38,
3492,2651.47,36,62.654794520548,C,P o S,M,P,760,
3496,885.32,10,66.841095890411,C,P o S,M,P,937.85,
3510,2516.4,18,62.7205479452055,D,P o S,M,P,1700.13,
3518,474.68,14,62.9890410958904,C,P o S,M,P,230.26,
3521,1851.12,19,65.9178082191781,C,Sup,M,P,2035.53,
3530,0.02,1,62.8054794520548,U,P o S,M,NP,0,
3541,1612.39,23,63.2821917808219,C,P o S,M,NP,0,
3543,1410.02,9,65.6931506849315,C,P o S,M,P,1050,
3544,2507.62,5,63.1698630136986,C,P o S,M,NP,1744.56,
3559,847.27,4,62.5287671232877,C,P o S,M,NP,0,
3566,1103.22,8,61.7013698630137,C,P o S,M,P,2095,
3572,6686.5,40,62.0027397260274,V,P o S,M,P,884.8,
3604,999.19,6,61.9589041095891,C,P o S,M,P,760.95,
3605,2007.36,14,66.8,C,P o S,M,NP,0,
3615,0.02,1,68.7835616438356,C,P o S,M,NP,0,
3630,509.25,2,63.158904109589,S,P o S,M,P,2369.61,
3638,1292.96,6,64.7945205479452,C,P o S,M,P,590.87,
3641,1183.62,9,63.9780821917808,C,P o S,M,NP,700,
3656,32258.98,42,66.3013698630137,C,P o S,M,NP,924,
3662,1186.52,6,64.4493150684932,C,P o S,M,P,722.4,
3670,717.78,5,62.9123287671233,C,P o S,M,NP,437,
3696,6569.27,25,67.3753424657534,C,P o S,M,P,1474.16,
3700,1079.33,14,64.6657534246575,C,P o S,M,NP,739.45,
3711,4160.32,22,64.1479452054795,C,P o S,M,NP,1431.57,
3745,4836.79,23,62.3369863013699,D,P o S,M,NP,2003,
3746,5139.7,24,68.2027397260274,C,P o S,M,P,2123.7,
3761,1509.85,12,61.9534246575343,C,P o S,M,NP,690.54,
3765,894.3,15,65.1643835616438,C,P o S,M,P,1287.74,
3768,1350.44,28,66.7342465753425,C,P o S,M,P,800,
3784,9656,18,63.5369863013699,C,P o S,M,P,2030.76,
3796,587.1,7,67.7068493150685,C,P o S,M,P,1119.81,
3820,0.02,1,64.2164383561644,C,P o S,M,P,1918.98,
3822,709.4,4,73.7260273972603,C,P o S,M,P,380.57,
3826,1233.11,9,63.4,C,P o S,M,P,1880,
3830,0.04,2,65.8164383561644,U,P o S,M,NP,0,
3850,270.51,5,64.6821917808219,C,P o S,M,P,1977.94,
3857,1346.62,9,65.1369863013699,C,P o S,M,P,825,
3868,1648.05,8,70.8054794520548,C,P o S,M,NP,552,
3875,1809.25,6,64.1506849315069,C,P o S,M,NP,1227.93,
3879,0.02,1,62.7287671232877,U,P o S,M,P,2000,
3895,38.76,2,62.3671232876712,D,P o S,M,NP,1485,
3908,184.37,2,66.4082191780822,C,P o S,M,NP,2026.66,
3916,0.02,1,62.5698630136986,C,P o S,M,P,1813,
3950,613.41,4,67.1972602739726,C,P o S,M,NP,0,
3952,1.57,1,62.6383561643836,D,P o S,M,NP,0,
3971,0.06,1,64.0383561643836,C,P o S,M,NP,0,
3983,1894.33,9,63.3753424657534,C,P o S,M,P,884.79,
3986,0.02,1,62.5232876712329,C,P o S,M,P,1800,
3995,1780.86,7,61.5205479452055,C,P o S,M,P,967.65,
4036,479.58,7,64.5397260273973,C,P o S,M,NP,0,
4039,1627.57,3,74.2219178082192,C,Sup,M,NP,0,
4041,265.58,7,70.8657534246575,C,P o S,M,P,1091.99,
4070,12900.35,8,66.5315068493151,C,P o S,M,NP,0,
4079,2984.38,12,63.3397260273973,C,P o S,M,P,713.64,
4089,966.26,3,65.4630136986301,C,P o S,M,P,827.49,
4093,0.02,1,64.6356164383562,C,P o S,M,P,2790,
4111,2397.79,30,65.6904109589041,C,P o S,M,P,757.37,
4119,0.04,2,63.9479452054795,C,P o S,M,NP,655.46,
4132,6555.6,55,62.2191780821918,S,P o S,M,P,986.1,
4182,2826.71,27,70.0356164383562,C,P o S,M,P,1470.47,
4235,1585.56,10,66.2630136986301,C,P o S,M,P,505.89,
4262,2396.22,38,62.3342465753425,C,P o S,M,P,1580,
4282,3551.4,4,63.4602739726028,D,P o S,M,P,2182,
4289,0.03,1,64.5945205479452,C,missing o N,M,NP,0,
4291,308.58,7,63.6109589041096,C,P o S,M,NP,849.78,
4296,3.72,1,69.7315068493151,C,P o S,M,NP,0,
4302,3182.59,9,68.6054794520548,C,P o S,M,P,2492.21,
4305,3240.54,22,64.3808219178082,C,P o S,M,P,1922.07,
4309,2574.08,11,68.7068493150685,D,P o S,M,P,1193.43,
4324,747.79,4,68.986301369863,C,P o S,M,P,944.55,
4326,1776.44,10,63.3260273972603,C,P o S,M,P,1005.12,
4332,5201,14,66.4438356164384,C,P o S,M,P,1152.81,
4336,1596.52,13,71.1369863013699,C,P o S,M,P,1039.88,
4338,0.07,1,66.5972602739726,D,P o S,M,NP,2074,
4352,2281.93,41,62.7698630136986,C,P o S,M,NP,0,
4354,5456.53,10,62.1561643835617,C,Sup,M,NP,1180,
4367,750.62,8,63.5917808219178,S,P o S,M,NP,1976,
4369,2227.74,30,62.2931506849315,C,P o S,M,P,996.48,
4371,2102.42,13,70.2438356164384,C,P o S,M,P,1527.88,
4373,677.16,9,64.9561643835617,C,P o S,M,P,435,
4394,5768.15,36,61.7041095890411,C,P o S,M,P,4644.63,
4420,2324.24,6,64.6027397260274,C,P o S,M,P,675.01,
4421,5025.09,17,61.6876712328767,C,P o S,M,NP,2004,
4427,3460.7,28,60.5698630136986,C,P o S,M,P,1213.45,
4446,441.01,2,66.3835616438356,missing,missing o N,M,NP,0,
4480,4704.64,37,66.4027397260274,D,Sup,M,P,1062.17,
4485,113.19,4,63.1780821917808,C,P o S,M,P,884.31,
4505,1716.79,8,64.8465753424658,C,P o S,M,P,711.23,
4514,11014.43,38,63.0684931506849,C,P o S,M,P,1702.89,
4522,3194.6,23,47.8438356164384,C,P o S,M,P,1209,
4523,0.02,1,63.0520547945206,C,P o S,M,P,1150,
4546,1778.89,4,73.5397260273973,C,Sup,M,P,1174.85,
4557,2789.8,6,64.2054794520548,C,P o S,M,P,1752,
4559,830.46,6,64.4876712328767,C,P o S,M,P,1070,
4584,686.54,15,67.6164383561644,C,P o S,M,NP,0,
4592,4391.38,82,69.2493150684932,C,P o S,M,P,1595.71,
4599,0.03,1,62.7369863013699,C,P o S,M,NP,0,
4601,2828.97,15,63.4520547945206,C,Sup,M,P,1752.19,
4607,2120.84,6,63.2630136986301,C,P o S,M,P,2471.08,
4623,334.47,2,64.1287671232877,C,P o S,M,P,1211,
4635,4075.54,9,63,C,P o S,M,P,553.17,
4653,1139.32,32,61.6301369863014,C,P o S,M,P,520,
4668,20.04,2,68.5808219178082,C,P o S,M,P,1423.18,
4669,5100.79,19,68.8575342465753,C,P o S,M,NP,2037.08,
4678,318.87,3,65.7698630136986,C,P o S,M,NP,600,
4679,619.93,6,62.972602739726,C,P o S,M,P,890.97,
4680,0.08,2,69.7753424657534,C,P o S,M,NP,951.99,
4681,3156.01,14,65.4109589041096,C,P o S,M,P,1055.73,
4691,1836.48,17,62.9095890410959,D,P o S,M,NP,799.08,
4692,0.1,3,69.227397260274,C,P o S,M,P,842,
4705,1646.15,9,65.1452054794521,C,P o S,M,P,1273.29,
4708,0.02,1,65.6054794520548,C,P o S,M,P,800,
4749,865.02,13,67.4465753424658,C,P o S,M,NP,586.49,
4751,2717.4,8,66.0684931506849,C,P o S,M,P,2006.47,
4794,2966.71,15,64.1287671232877,D,P o S,M,NP,2777,
4807,195.31,5,65.972602739726,C,Sup,M,P,2325.17,
4841,1775.45,8,69.7178082191781,V,P o S,M,NP,616.41,
4850,798.67,8,72.5013698630137,V,P o S,F,P,727.77,
4871,1707.07,6,75.9616438356165,C,P o S,M,P,942.03,
4876,19.71,2,69.8383561643836,C,P o S,M,NP,0,
4907,4538.73,39,65.4876712328767,C,Sup,F,P,2171.07,
4908,750.14,4,73.854794520548,C,P o S,F,NP,1140,
4928,2328.64,10,68.654794520548,C,P o S,M,P,1564.79,
4931,19.71,2,62.8438356164384,C,Sup,F,P,3203,
4955,0.03,1,67.9013698630137,C,P o S,M,NP,1250,
4977,0.02,1,64.0575342465754,C,P o S,M,P,1551,
4983,7385.7,13,65.5424657534247,C,P o S,M,P,1513.99,
4994,5966.33,12,64.4356164383562,C,P o S,M,P,2689,
5001,1327.75,20,77.6356164383562,V,P o S,M,NP,1132,
5002,353.3,15,69.5561643835617,C,P o S,M,P,1333,
5006,287.25,2,70.4493150684932,C,P o S,M,P,1412.45,
5013,0.31,1,68.3068493150685,C,P o S,M,NP,1782,
5015,1790.8,9,71.9424657534247,C,Sup,M,NP,716.66,
5024,6705.56,7,71.3150684931507,C,P o S,M,NP,1100,
5069,4390.52,32,69.7342465753425,D,Sup,M,P,864.08,
5082,1453.8,11,75.3945205479452,C,Sup,M,P,1453.43,
5090,561.46,4,74.8739726027397,C,P o S,M,P,691,
5100,0.31,1,70.4191780821918,C,P o S,M,NP,0,
5101,891.16,6,65.6821917808219,C,P o S,M,P,669.44,
5102,929.7,23,79.5561643835617,C,P o S,M,P,1070,
5104,4986.16,33,73.3780821917808,C,P o S,M,NP,606,
5121,13775.52,43,66.4904109589041,V,Sup,M,NP,2136.59,
5145,1629.17,5,69.7835616438356,C,P o S,M,NP,870,
5188,893.21,7,68.7808219178082,C,P o S,M,P,1111,
5195,33198.39,5,75.5287671232877,C,P o S,M,P,867.41,
5203,3124.86,49,76.3698630136986,D,P o S,M,P,1649.55,
5235,3030.95,22,70.6109589041096,C,P o S,M,P,1628.76,
5238,476.36,3,68.0602739726028,C,P o S,M,NP,739.27,
5277,1.02,2,69.6684931506849,C,P o S,M,P,598,
5312,3083.52,15,69.5068493150685,C,P o S,M,P,2239,
5328,516.96,6,73.8739726027397,C,P o S,M,NP,1664,
5357,1359.61,13,69.8602739726027,C,P o S,M,P,863.98,
5363,1700.35,3,69.1342465753425,C,P o S,M,NP,810.19,
5369,54.51,5,65.7780821917808,C,P o S,M,P,2108,
5370,6382.65,16,63.0794520547945,C,P o S,M,P,1879.12,
5400,1880.37,16,66.6657534246575,S,P o S,M,NP,931.3,
5409,0.31,1,67.6657534246575,C,P o S,M,P,800,
5442,1403.73,5,71.2986301369863,C,P o S,M,P,4991.08,
5451,769.16,6,77.4520547945206,C,P o S,M,NP,0,
5452,5250.14,9,89.4356164383562,C,Sup,M,P,3700,
5474,6903.24,5,70.3835616438356,C,P o S,M,P,5506.41,
5477,2406.91,10,76.6493150684932,C,P o S,M,P,1409.5,
5483,6628.31,27,73.386301369863,D,P o S,M,P,2420.79,
