Trimestres;PIB;IMPOR;OF;DI;GCFH;GCFGC;FBKF;VE;EXPOR;UF
2011.IV;20657125;7078904;27736029;21265298;12562204;2637773;5480168;585153;6470731;27736029
2012.I;21622937;6853963;28476900;21791681;12896279;2805829;5733341;356232;6685219;28476900
2012.II;21908844;6883063;28791907;22192062;13257745;2847288;5853906;233123;6599845;28791907
2012.III;22106937;7035012;29141949;22469556;13364281;2951086;5997916;156273;6672393;29141949
2012.IV;22285826;7000075;29285901;22721087;13489967;3122549;6122675;-14104;6564814;29285901
2013.I;23019786;7287332;30307118;23717022;13748778;3222907;6406446;338891;6590096;30307118
2013.II;23441324;7370541;30811865;24184056;14137037;3311670;6509500;225849;6627809;30811865
2013.III;24238576;7448982;31687558;24759564;14384933;3375221;6637009;362401;6927994;31687558
2013.IV;24429973;7352772;31782745;24685138;14671139;3413480;6658705;-58186;7097607;31782745
2014.I;24829431;7213516;32042947;24566143;14517583;3405399;6612209;30952;7476804;32042947
2014.II;25540887;7600587;33141474;25817961;14911182;3619811;6815031;471937;7323513;33141474
2014.III;25940400;7757947;33698347;26652356;15235324;3692677;7107289;617066;7045991;33698347
2014.IV;25415613;7596231;33011844;26322030;15348207;3825068;7149702;-947;6689814;33011844
2015.I;25052739;6741430;31794169;25959715;15462530;3615215;6782799;99171;5834454;31794169
2015.II;25086195;6236883;31323078;25949666;15298830;3611008;6611841;427987;5373412;31323078
2015.III;24779738;5590112;30369850;25283275;15254879;3603087;6482288;-56979;5086575;30369850
2015.IV;24371709;5247024;29618733;24805805;14975671;3497818;6513528;-181212;4812928;29618733
2016.I;24913573;4698403;29611976;25003659;15272408;3632411;6363450;-264610;4608317;29611976
2016.II;24926186;4585837;29512023;24721688;14963699;3668803;6222531;-133345;4790335;29512023
2016.III;24910741;4766834;29677575;24777006;14867587;3634828;6262810;11781;4900569;29677575
2016.IV;25187196;4953627;30140823;24947405;14785998;3660552;6231997;268858;5193418;30140823
2017.I;26000261;5313744;31314005;25941445;15633202;3738191;6549822;20230;5372560;31314005
2017.II;25993550;5481790;31475340;26224741;15645616;3773698;6592246;213181;5250599;31475340
2017.III;25960907;5736237;31697144;26262464;15603095;3827485;6635603;196281;5434680;31697144
2017.IV;26341144;5984562;32325706;26655778;15596074;3857844;6718585;483275;5669928;32325706
2018.I;26510612;6166397;32677009;26438576;15690603;3856675;6900492;-9194;6238433;32677009
2018.II;26761827;6318441;33080268;26994028;15950509;3960438;6940983;142098;6086240;33080268
2018.III;27078404;6448573;33526977;27538492;16185856;3967589;6900122;484925;5988485;33526977
2018.IV;27211165;6620576;33831741;27830847;16375332;4044508;6776087;634920;6000894;33831741
2019.I;26914897;6305291;33220188;27132433;16037161;3868308;6679266;547698;6087755;33220188
2019.II;27058331;6457067;33515398;27088904;16123571;3873160;6781244;310929;6426494;33515398
2019.III;27054758;6212133;33266891;26899866;16149568;3925959;6756698;67641;6367025;33266891
2019.IV;27080023;5921112;33001135;26965278;16186221;3916066;6690800;172191;6035857;33001135
2020.I;26250834;5664014;31914848;26026642;15817602;3831586;6329821;47633;5888206;31914848
2020.II;23544804;4596256;28141060;23108821;14313647;3544477;5359187;-108490;5032239;28141060
2020.III;24331550;4748278;29079828;23609106;14616999;3556210;5716201;-280304;5470722;29079828
2020.IV;24680822;5497510;30178332;24305504;14973720;3553932;5847369;-69517;5872828;30178332
