"","area","prov","sexo","f1_s2_8_1","region","etnia","gedad_meses","f1_s1_1","f1_s1_2","f1_s1_3","f1_s1_4","f1_s1_5","f1_s1_6_1","f1_s1_6_2","f1_s1_6_3","f1_s1_9","f1_s1_11","f1_s1_12","f1_s1_13","f1_s1_21","f1_s1_24","f1_s1_25","f1_s1_42","f1_s1_43","f1_s1_44_1","f1_s1_44_2","f1_s1_44_3","f1_s1_44_4","f1_s1_44_5","f1_s1_44_6","f1_s1_44_7","f1_s1_44_10","f1_s6_1_1","f1_s6_1_2","f1_s6_1_3","dcronica"
"10679","Urbano","Pr_13","Hombre","IESSGen","Sierra","5","6","Carretera","Casa","Hormigon","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","SI","SI","SI","NO","SI","NO","SI","SI","SI","DCI_0"
"11135","Urbano","Pr_13","Hombre","Ninguno","Sierra","3","6","Lastrado","Mediagua","Zinc","Cemento","Hormigon","Bueno","Regular","Regular","Gas","Municipio","ExclusivoHogar","NoTiene","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"18410","Urbano","Pr_23","Hombre","Ninguno","Costa","3","6","Lastrado","Depar","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"20204","Urbano","Pr_24","Mujer","Ninguno","Sierra","3","4","Carretera","Casa","Asbesto","Tabla","Hormigon","Bueno","Bueno","Bueno","Electricidad","Municipio","Compartido","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"16626","Urbano","Pr_21","Hombre","Ninguno","Oriente","3","2","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"6023","Urbano","Pr_08","Hombre","Ninguno","Sierra","3","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","NoTiene","PozoSeptico","Tuberia","DentroVivienda","Tuberia","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_1"
"1102","Rural","Pr_03","Mujer","Ninguno","Costa","3","8","Lastrado","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Regular","Gas","Municipio","Compartido","NoTiene","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","NO","SI","NO","NO","NO","SI","DCI_1"
"13329","Urbano","Pr_16","Hombre","ISSFA","Oriente","3","2","Lastrado","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","NO","NO","SI","SI","NO","NO","NO","DCI_0"
"6354","Urbano","Pr_09","Hombre","IESSGen","Sierra","3","1","Carretera","Depar","Zinc","Cemento","Hormigon","Bueno","Regular","Malo","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"9100","Urbano","Pr_12","Hombre","Ninguno","Sierra","3","1","Lastrado","Rancho","Zinc","Tabla","Cania","Malo","Malo","Malo","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","DCI_0"
"17309","Urbano","Pr_22","Mujer","IESSGen","Oriente","3","4","Empedrado","Casa","Hormigon","Cemento","Hormigon","Regular","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"15243","Rural","Pr_18","Hombre","Ninguno","Costa","1","5","Carretera","Casa","Asbesto","Tierra","Hormigon","Regular","Regular","Malo","Gas","Queman","NoTiene","NoTiene","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"15793","Rural","Pr_19","Mujer","IESSGen","Oriente","3","8","Lastrado","Mediagua","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Municipio","NoTiene","PozoSeptico","Rio","Otro","MananNoProteg","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"12326","Rural","Pr_14","Mujer","Ninguno","Oriente","1","2","Carretera","Depar","Zinc","Cemento","Hormigon","Regular","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","NO","DCI_1"
"9735","Urbano","Pr_12","Mujer","Ninguno","Sierra","3","3","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","Compartido","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","SI","SI","NO","NO","SI","SI","SI","SI","NO","DCI_1"
"2012","Urbano","Pr_04","Hombre","Ninguno","Costa","3","8","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","SI","SI","SI","DCI_0"
"9132","Urbano","Pr_12","Mujer","Ninguno","Sierra","5","2","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"7007","Rural","Pr_09","Mujer","Ninguno","Sierra","3","8","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoCiego","Repartidor","TuberiaFueraDentro","Ebotellada","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"11503","Rural","Pr_13","Mujer","Ninguno","Sierra","3","8","Lastrado","Rancho","Zinc","Tabla","Cania","Regular","Regular","Regular","Gas","Queman","NoTiene","Letrina","Pozo","Otro","PozoNoProteg","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","DCI_0"
"10550","Urbano","Pr_13","Mujer","IESSGen","Sierra","5","3","Carretera","Casa","Teja","Ceramica","Asbesto","Regular","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"3678","Urbano","Pr_07","Hombre","Ninguno","Sierra","2","8","Lastrado","Rancho","Zinc","Tierra","Baha","Regular","Malo","Malo","Gas","Municipio","NoTiene","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","SI","NO","SI","NO","NO","SI","SI","SI","DCI_0"
"1602","Urbano","Pr_04","Hombre","Ninguno","Costa","3","2","Carretera","Depar","Teja","Tabla","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15114","Urbano","Pr_18","Mujer","IESSGen","Costa","4","4","Carretera","Casa","Hormigon","Cemento","Hormigon","Bueno","Bueno","Malo","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","SI","SI","SI","NO","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"9818","Urbano","Pr_12","Mujer","ISSFA","Sierra","3","4","Carretera","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","SI","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"12566","Urbano","Pr_15","Hombre","Ninguno","Oriente","3","3","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"7092","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","8","Carretera","Casa","Zinc","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"9361","Rural","Pr_12","Mujer","IESSGen","Sierra","5","2","Lastrado","Rancho","Zinc","Cania","Cania","Malo","Malo","Malo","Gas","Queman","ExclusivoHogar","NoTiene","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"20074","Urbano","Pr_24","Mujer","IESSGen","Sierra","3","4","Carretera","Depar","Hormigon","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"9983","Rural","Pr_12","Hombre","Ninguno","Sierra","3","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Queman","NoTiene","PozoSeptico","Otro","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","NO","NO","NO","SI","NO","NO","SI","SI","SI","DCI_0"
"17662","Rural","Pr_22","Hombre","Ninguno","Oriente","1","3","Lastrado","Casa","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Calle","NoTiene","NoTiene","Rio","Otro","RioAce","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","DCI_1"
"8815","Urbano","Pr_11","Mujer","Ninguno","Costa","3","8","Lastrado","Casa","Hormigon","Tierra","Hormigon","Regular","Malo","Malo","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","SI","SI","SI","DCI_0"
"6319","Urbano","Pr_09","Mujer","IESSGen","Sierra","3","2","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"7069","Urbano","Pr_09","Mujer","Ninguno","Sierra","3","6","Lastrado","Rancho","Zinc","Tabla","Cania","Malo","Malo","Malo","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"4589","Urbano","Pr_07","Hombre","IESSGen","Sierra","3","2","Carretera","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"1918","Rural","Pr_04","Hombre","Ninguno","Costa","3","8","Lastrado","Mediagua","Asbesto","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","Tuberia","DentroVivienda","Tuberia","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"19219","Urbano","Pr_23","Hombre","Ninguno","Costa","3","2","Lastrado","Casa","Teja","Cemento","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","Pozo","TuberiaFueraDentro","PozoNoProteg","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_1"
"5900","Urbano","Pr_08","Hombre","Ninguno","Sierra","3","7","Carretera","Casa","Zinc","Cemento","Hormigon","Malo","Malo","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"10742","Urbano","Pr_13","Mujer","Ninguno","Sierra","3","1","Carretera","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","NO","NO","SI","NO","SI","SI","SI","SI","SI","SI","SI","SI","NO","DCI_0"
"14935","Urbano","Pr_18","Mujer","IESSGen","Costa","3","6","Carretera","Depar","Hormigon","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","SI","SI","SI","SI","NO","NO","NO","NO","DCI_0"
"8516","Urbano","Pr_11","Hombre","Ninguno","Costa","3","3","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","NO","SI","DCI_0"
"17318","Urbano","Pr_22","Mujer","IESSGen","Oriente","3","8","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"16632","Urbano","Pr_21","Mujer","IESSGen","Oriente","3","1","Carretera","Casa","Hormigon","Ceramica","Hormigon","Bueno","Regular","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","DCI_0"
"16248","Urbano","Pr_20","Mujer","IESSGen","Insular","3","8","Carretera","Casa","Hormigon","Ceramica","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"1043","Urbano","Pr_03","Mujer","IESSGen","Costa","1","3","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","NO","NO","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"243","Urbano","Pr_01","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Asbesto","Ceramica","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","NO","SI","SI","SI","SI","NO","NO","SI","SI","NO","NO","NO","DCI_0"
"2980","Urbano","Pr_06","Hombre","IESSGen","Costa","3","1","Carretera","Casa","Hormigon","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"2546","Rural","Pr_05","Mujer","Campesino","Costa","3","2","Sendero","Mediagua","Zinc","Tierra","Madera","Regular","Regular","Malo","Lenia","Queman","NoTiene","PozoCiego","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"10575","Urbano","Pr_13","Mujer","Ninguno","Sierra","3","2","Sendero","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"9922","Urbano","Pr_12","Hombre","Ninguno","Sierra","3","8","Lastrado","Mediagua","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Ebotellada","NO","SI","SI","NO","NO","SI","NO","SI","SI","NO","NO","NO","NO","DCI_0"
"19829","Rural","Pr_24","Mujer","Ninguno","Sierra","3","5","Carretera","Casa","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","NoTiene","RedPublica","TuberiaFueraDentro","Red","NO","NO","SI","NO","NO","SI","NO","SI","SI","NO","SI","SI","SI","DCI_1"
"8581","Rural","Pr_11","Hombre","Ninguno","Costa","1","8","Lastrado","Casa","Teja","Tierra","Adobe","Malo","Malo","Malo","Gas","Queman","NoTiene","PozoSeptico","Rio","Otro","MananNoProteg","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"1812","Urbano","Pr_04","Hombre","Ninguno","Costa","3","8","Carretera","Casa","Teja","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","SI","SI","NO","SI","SI","NO","NO","NO","NO","DCI_1"
"8798","Urbano","Pr_11","Hombre","Ninguno","Costa","3","8","Carretera","Mediagua","Hormigon","Tierra","Hormigon","Bueno","Bueno","Malo","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"3598","Urbano","Pr_07","Hombre","Ninguno","Sierra","3","7","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","SI","NO","SI","SI","NO","NO","SI","NO","SI","NO","SI","DCI_0"
"17285","Rural","Pr_21","Hombre","Campesino","Oriente","1","1","Rio","Rancho","Zinc","Tabla","Madera","Regular","Regular","Regular","Gas","Calle","NoTiene","NoTiene","Otro","Otro","Lluvia","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","SI","DCI_1"
"11766","Rural","Pr_13","Mujer","Ninguno","Sierra","3","1","Lastrado","Casa","Hormigon","Cemento","Asbesto","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","PozoSeptico","Rio","TuberiaFuera","Ebotellada","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_0"
"11772","Rural","Pr_13","Mujer","Ninguno","Sierra","3","3","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","Compartido","PozoSeptico","Rio","Otro","Ebotellada","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","DCI_1"
"6433","Urbano","Pr_09","Hombre","Ninguno","Sierra","3","1","Carretera","Casa","Zinc","Cemento","Hormigon","Regular","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15582","Urbano","Pr_19","Mujer","Ninguno","Oriente","3","5","Carretera","Mediagua","Asbesto","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO","SI","SI","NO","DCI_0"
"8832","Urbano","Pr_11","Hombre","IESSGen","Costa","3","3","Carretera","Casa","Asbesto","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_1"
"12887","Rural","Pr_15","Hombre","IESSGen","Oriente","3","6","Lastrado","Casa","Zinc","Cemento","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","NoTiene","PozoSeptico","Tuberia","TuberiaFueraDentro","Tuberia","NO","NO","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO","NO","DCI_0"
"17477","Urbano","Pr_22","Hombre","Ninguno","Oriente","3","4","Lastrado","Casa","Zinc","Cemento","Hormigon","Regular","Bueno","Bueno","Gas","Municipio","NoTiene","PozoSeptico","Otro","Otro","Lluvia","NO","NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","SI","SI","DCI_0"
"13337","Urbano","Pr_16","Hombre","Ninguno","Oriente","3","3","Carretera","Depar","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","NO","DCI_1"
"7750","Urbano","Pr_10","Hombre","Ninguno","Costa","3","6","Carretera","Depar","Otro","Duela","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","DCI_0"
"16823","Rural","Pr_21","Mujer","IESSGen","Oriente","3","1","Empedrado","Cuarto","Otro","Cemento","Hormigon","Regular","Regular","Regular","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","NO","SI","SI","NO","SI","NO","NO","DCI_0"
"4516","Urbano","Pr_07","Hombre","Ninguno","Sierra","3","8","Empedrado","Casa","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Ebotellada","SI","SI","SI","SI","SI","SI","NO","SI","SI","SI","NO","NO","NO","DCI_0"
"9064","Urbano","Pr_12","Mujer","IESSGen","Sierra","3","8","Carretera","Depar","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Ebotellada","SI","SI","SI","SI","SI","SI","SI","NO","SI","NO","NO","NO","NO","DCI_0"
"11567","Rural","Pr_13","Hombre","Ninguno","Sierra","3","5","Carretera","Casa","Teja","Ceramica","Hormigon","Regular","Bueno","Regular","Gas","Municipio","ExclusivoHogar","PozoSeptico","RedPublica","DentroVivienda","Red","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","SI","SI","NO","DCI_0"
"333","Rural","Pr_01","Hombre","Ninguno","Costa","3","8","Lastrado","Casa","Hormigon","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"8474","Urbano","Pr_11","Hombre","Ninguno","Costa","3","8","Carretera","Depar","Zinc","Ceramica","Hormigon","Bueno","Bueno","Bueno","Gas","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","DentroVivienda","Red","SI","SI","SI","SI","SI","SI","SI","SI","SI","SI","NO","NO","NO","DCI_0"
"15254","Rural","Pr_18","Mujer","Ninguno","Costa","3","1","Lastrado","Casa","Asbesto","Cemento","Hormigon","Regular","Regular","Regular","Lenia","Municipio","ExclusivoHogar","Alcantarillado","RedPublica","TuberiaFueraDentro","Red","NO","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","DCI_1"
